"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"zgc:64072",415.953720297427,1.33398081185564,0.47618634286071,2.80138402088916,0.00508839276640691,0.0319980936951227
"rasa3",251.643842285214,1.1519221068515,0.269210662943185,4.27888737488307,1.87829868402325e-05,0.000632657954246129
"appa",3215.9866389511,2.39281113458862,0.653720865910916,3.6602948741041,0.000251925163608606,0.00378604320055633
"si:ch211-132g1.3",57.3646318320706,2.03683921373512,0.571304223719839,3.56524445149904,0.000363517211397597,0.0049247535335946
"farp1",338.293215486888,3.24420492661306,0.814958759692161,3.98082097778605,6.86776592064651e-05,0.00150822184594736
"slitrk6",98.3443999896936,4.69147310541402,1.13547022084305,4.13174473385197,3.60020103758013e-05,0.00095295694654847
"ndfip2",1464.73523132814,2.78899763038366,0.745014091517365,3.74355017192135,0.000181438352816335,0.00297427886566836
"nrp2a",345.204756457883,3.30607126262292,0.903338199975264,3.65983776919149,0.000252374977637156,0.0037906890453795
"abcb6a",277.834741887998,1.56749213622001,0.524624106794422,2.98783856082741,0.00280957919551153,0.020897069797516
"prkag3a",169.116324408224,1.58104705455259,0.597098822854769,2.64788171410806,0.00809978603557587,0.0445240380486796
"hecw2b",93.5944325706879,2.13996388690933,0.731575520239529,2.92514419592481,0.00344296645878285,0.0241851340454543
"klf7a",32.3663218506019,2.59392241682762,0.697142630574991,3.72079156124508,0.000198599308895958,0.00317125392384344
"lancl1",805.280498621131,1.93249131755243,0.61602393846433,3.13703932085803,0.00170663237485471,0.014703498395449
"arglu1b",1783.17251101782,2.07846005894483,0.628240391219457,3.30838336406609,0.00093836262180747,0.00971757079447505
"si:dkeyp-9d4.3",574.604995086922,4.10155534239596,0.980998085467153,4.18100239252026,2.90226810043826e-05,0.000836411938335929
"syngr3b",1036.6946998057,3.52238571273163,0.87322535188098,4.03376482959891,5.48902537761303e-05,0.00128839092182196
"si:ch211-160d14.6",167.128410857686,2.66378201265084,0.849361279874039,3.13621785660618,0.0017114202076471,0.0147129505477338
"fscn1b",291.412455241717,4.4511656228217,0.909514416982265,4.89400227166327,9.88056971393968e-07,8.53339203563522e-05
"grin2ab",373.635754302567,3.05156848923645,0.861308596451871,3.54294442410916,0.000395686080624069,0.00526266393311755
"LOC103911865",44.8698834865458,1.83096354536859,0.650781034739771,2.81348633046865,0.00490074697474893,0.0311084871570282
"uncx4.1",141.353682962333,2.98595979384658,0.821559925519889,3.6345002976588,0.000278519935882697,0.00408102131174288
"elfn1b",42.8418384011023,3.09644298032372,0.804811383757249,3.84741449091838,0.000119370919809382,0.00223217821317392
"trim2b",162.567215455128,4.10070799940471,0.969432272649651,4.23000978520826,2.33681146896576e-05,0.000728793076883697
"LOC557811",77.2941052671778,2.22660519524639,0.760670898030321,2.92715969680444,0.0034207318430941,0.0240728754881205
"tnrc5",283.606110383686,1.3883557127145,0.486654019520665,2.85285984914288,0.00433277257694386,0.0285036352193187
"zgc:103678",100.95754886981,1.44356545807675,0.447371473383511,3.22677136107704,0.00125195455871655,0.0118618732556878
"atp1b1b",1103.15850384113,5.5757169027223,0.996455828034167,5.5955484888098,2.19925369306915e-08,6.20964546206917e-06
"ttyh3b",230.192100535548,4.49790153416887,0.914955132297898,4.91598044034405,8.8339218035708e-07,7.93462856396729e-05
"cplx2l",2200.09331077716,5.70715620972891,1.10813998690907,5.15021231717108,2.60191745542949e-07,3.43682685068642e-05
"gne",136.492793370227,1.2180866704482,0.43613792115964,2.79289328295382,0.00522389227587536,0.0326162496691887
"pcdh18a",153.128645897712,4.31401929775097,1.02447355061318,4.21096210357887,2.54285404868233e-05,0.000770750789603983
"ank2a",1082.15975146476,4.08687527247495,0.934922199837232,4.37135333098996,1.23478784068402e-05,0.000482201889123829
"camk2d2",2397.64612721154,6.70202953805943,1.19536639711359,5.60667386522038,2.06251777268352e-08,5.91240467050321e-06
"crmp1",155.662588536004,2.01569721168889,0.575993282065954,3.49951514097361,0.000466105132659088,0.00592716795876913
"pcdh7a",423.295448963845,4.54719667386791,0.969810172536124,4.68874920333807,2.74880025330366e-06,0.000174905363298886
"hgsnat",95.2321882811227,1.08996933972761,0.356221885905171,3.05980452873623,0.00221481493184874,0.0176100333884911
"tusc3",363.542081953696,3.13595946346038,0.788176842781988,3.97875107874464,6.92782256441986e-05,0.00151646715532784
"micu3a",169.38967986732,5.09182405587772,1.16489949501623,4.37104151702527,1.23655275508263e-05,0.000482201889123829
"LOC110439786",340.694578161475,2.78230326056235,0.757353162693614,3.67371973554156,0.000239044922684885,0.00364530667135904
"mtmr7b",259.545186639758,2.81503954330326,0.670276752658973,4.19981676544213,2.67131071595768e-05,0.000792743816654137
"slc25a4",43.5158472168364,1.99427399740248,0.624611392705625,3.19282360311089,0.00140888983113548,0.0127921774996838
"sorbs2a",282.288701618119,3.2535478421085,0.83414696307317,3.90044918478364,9.60143782403224e-05,0.00191929038283659
"ptpn9b",170.586022837726,1.13897225599486,0.36421217949485,3.1272217682961,0.00176466760806084,0.0150393654092413
"ptprdb",1003.95945942013,4.78905932239312,1.00531526369808,4.76373879451154,1.90038475242173e-06,0.000137371542634599
"clockb",280.090452644799,1.79394950837471,0.508914516289884,3.52505077169552,0.000423401633195674,0.00553296819015065
"fbxo10",37.5009719238758,2.33565981651369,0.713898566122457,3.27169702721192,0.00106904070414787,0.0106139907199589
"si:ch211-42i9.8",91.7897934661848,1.53219440735728,0.472041499943579,3.24588920156474,0.00117084398706543,0.011358503330348
"apbb2b",60.7322609628087,2.63670662071128,0.699808352769601,3.76775528653824,0.000164722056670305,0.00278631546706719
"prss12",89.1181606510783,2.6402581441421,0.755453361473298,3.49493202200203,0.000474182509169008,0.00600156030627904
"ndst3",244.789616211631,3.84143805550333,0.927172458194828,4.14317533005939,3.42529870099601e-05,0.000923904892863249
"ugt8",75.3021165813799,3.33018252046808,0.939430720362465,3.54489420910482,0.000392770692949591,0.00523587690161668
"spock3",1296.83902019466,4.87745886506607,1.0222857714484,4.77113054029461,1.83194759186161e-06,0.000135128433000627
"cpe",2983.92036049617,7.28400997467118,1.19206777530111,6.110399195072,9.93822353400502e-10,8.78230752958762e-07
"LOC101882260",54.9218683503298,1.98626745123889,0.725507649740837,2.73776224406237,0.00618587789808396,0.0368007176657177
"gria2a",1703.23426977458,6.54452879252305,1.30411744480631,5.01835844508242,5.21148722959952e-07,5.45664299200209e-05
"glrba",129.546064500979,1.7800329178347,0.568818110806491,3.12935345063275,0.0017519143674674,0.0149626258465219
"adamtsl7",19.5921870404994,1.83775557167286,0.704796608341123,2.60749775172497,0.00912066694648337,0.0481591028020989
"kdm4c",493.891536462046,1.71953078418132,0.556699224153603,3.08879680368814,0.00200968840214939,0.016429934370242
"si:ch73-380n15.2",36.0131523693601,1.78494171043043,0.671259121096443,2.65909490736586,0.0078350888381276,0.0434636712185071
"chrnb3a",136.952829221684,2.50416698560366,0.817143443773465,3.06453781730137,0.00218006610479673,0.0174004920793402
"uchl1",1263.85080576832,1.9897342086291,0.651555049635874,3.05382363277067,0.00225944869457722,0.0178805005944428
"tapt1b",690.573126596271,1.31054440344798,0.437036757644332,2.99870521306248,0.00271129497742366,0.0204188246119782
"adgrl3.1",1308.06129145594,2.52495493006621,0.88611280151157,2.84947348211089,0.00437916561146561,0.0287282649415068
"si:dkey-92j12.5",52.1016477931505,1.37828664197836,0.475301751612287,2.89981393357593,0.00373384233134054,0.0256532675829429
"rhoh",20.4926877246714,1.39324636925233,0.440645316683353,3.1618317873863,0.00156780100700665,0.0138058712205232
"fam184b",770.352553738335,2.23743979998989,0.689409765924317,3.2454425663525,0.00117268216971467,0.0113624932560703
"slit2",201.342396007311,1.93678396408641,0.67293424299756,2.87811771245148,0.00400055831023382,0.0269497610568901
"LOC101882397",246.197799063533,-1.1283476228682,0.415651218837581,-2.71465010020603,0.00663458270298512,0.0386457988574658
"fbxw7",712.920968800996,1.28559963863413,0.474441387344171,2.709712248821,0.00673416031059317,0.039073790639372
"trim2a",55.506791081273,1.04625924091695,0.364657303623791,2.86915750903581,0.00411566789382687,0.0274710891917411
"fhdc1",107.375090166743,2.78457387783072,0.980464013025583,2.84005719826257,0.00451054453895452,0.0293732907845165
"gucy1a3",358.461598531726,2.43539168213733,0.786325813861984,3.09717885284228,0.00195371959249274,0.0161406788522333
"gucy1b3",199.620871686577,2.80145958431472,0.737556554078692,3.7982980000959,0.000145693095296173,0.00255256576453231
"usp53b",224.67069259305,2.80218129324424,0.728594866102451,3.84600746397547,0.000120058106909311,0.00224347139305014
"cdkn2a/b",134.084761070069,2.15031243377148,0.588985320708667,3.65087610534032,0.000261347295368463,0.00388645928311182
"cxxc4",59.5156869788408,2.90427743986811,0.879834889364634,3.30093461281742,0.000963633375513155,0.00988430336375237
"sh3gl2a",987.380862234427,6.31007050098283,1.12188800555746,5.62451017367582,1.86035090670555e-08,5.56989061467641e-06
"bnc2",82.0820789643861,2.79368645683859,0.841781025943806,3.31878050316745,0.000904114663783841,0.00946843129821974
"dnajb14",135.006864955593,2.58869843112441,0.772671284244888,3.35032307257837,0.000807173561774741,0.00873497943597677
"si:ch1073-440b2.1",476.403806814506,1.9554927243329,0.587896596735883,3.32625283968334,0.000880220445831858,0.00928772888856078
"zgc:172295",456.757196238978,2.06194352855813,0.594369277646631,3.46912871526986,0.000522149228454899,0.00642751626767734
"gpm6ba",1950.77306084083,8.12142440264757,1.28937116106936,6.29874829518596,3.00058777965324e-10,4.16165481225667e-07
"irs2a",512.626743810553,1.78703357914874,0.538652307423287,3.3176012699124,0.000907939951062586,0.00950110676556599
"raph1b",529.343610256029,1.57628397001737,0.585771331848372,2.69095444641083,0.00712479228113764,0.0407192208300212
"si:dkey-22o12.2",239.070958746613,3.97514650550456,0.898825209224636,4.42260237553159,9.7519115254098e-06,0.000412519635735781
"ubac2",71.7712989884469,1.35027837936575,0.48132362575408,2.80534407021947,0.00502628941816654,0.0317260235797413
"dachc",83.0564365432266,3.2015160448138,0.805864349706241,3.97277289407434,7.1040774973835e-05,0.00155001192100806
"si:ch211-269i23.2",175.369727961688,1.47196399509604,0.443880467251525,3.31612698393856,0.000912743450976395,0.00952547832300927
"eef1a1b",754.472984032546,2.74626659248324,0.73850371172574,3.71869030429888,0.000200258392983953,0.00318733765938901
"kcnq5b",108.695268799581,1.70970940597387,0.543004970058686,3.14860728768116,0.00164050491697049,0.0142642934794084
"nt5c2b",251.897785766992,1.27086099675588,0.46498004646009,2.73315168345607,0.00627314353145739,0.0372080399732887
"anos1a",153.269868914469,2.84968025601973,0.774539626283277,3.67919233479928,0.000233973766967455,0.00359239722205416
"LOC101885607",145.871394700553,-1.29742302176507,0.498698783530152,-2.60161657620452,0.00927855241886687,0.0487273189395413
"nlgn4a",309.203136385009,3.57390893787959,0.942537974014182,3.79179304856933,0.000149563526605344,0.00260344882939767
"dhrsx",271.036500871515,3.86504311778481,0.92023378446075,4.20006652988696,2.6683656176207e-05,0.000792742887898648
"LOC110439842",215.032240438104,-1.08750892367776,0.284694695010996,-3.81991284957295,0.000133498835001796,0.00239827976388212
"epha6",413.215763070194,5.50185699860297,1.01965245252644,5.39581598119119,6.82128308222063e-08,1.28673597687431e-05
"kctd12.2",234.52151794732,1.97402487893979,0.643157243500992,3.06927255952882,0.00214580724038949,0.0172089635786151
"zgc:172122",75.5220553708936,1.3606896568689,0.468974142596934,2.90141722811008,0.00371478903843538,0.0255755780127316
"znf827",889.024761701636,1.85848043252087,0.621275314862225,2.99139590462082,0.00277705199579742,0.02076889220512
"nr3c2",45.4553339597002,2.39696656728966,0.677010639968308,3.5405153564527,0.000399346394710817,0.00529566336214453
"dclk2a",618.787167708888,4.02253215561202,0.864356363508727,4.65378902202229,3.25890260705028e-06,0.000196893250335374
"si:ch211-15e22.3",214.903852669622,3.5762894247348,0.930713926072962,3.84252273931748,0.000121776127562706,0.00226853661381657
"gpm6ab",5177.58235332424,5.75681963104411,1.05171449535028,5.47374753937071,4.40616668547879e-08,9.86271749488316e-06
"wdr17",656.000623825376,4.37317129637044,0.930108608415753,4.7017856375066,2.57896171378446e-06,0.00016704976523951
"asb5b",236.17140302045,1.96106491392375,0.648628571047403,3.02340199223267,0.00249949976083628,0.0192377950744057
"tenm3",570.423504010295,4.50549828959627,0.998393422323124,4.51274837038949,6.39929277159186e-06,0.000308688489796174
"stox2a",866.207696808983,4.87375100934269,0.992182885531051,4.91214984698521,9.00831631641097e-07,8.06438842066478e-05
"ccdc149b",266.359388090051,1.76453139028703,0.517271424275505,3.41122920671376,0.000646707030606707,0.00747035657431791
"si:ch211-113e8.11",236.552868827962,1.13408964049213,0.332337837124535,3.4124601950369,0.000643793283762735,0.00745814867767441
"si:ch211-113e8.3",722.401635526427,3.52173221689512,0.851125982395568,4.1377331790329,3.50753918679695e-05,0.00093783442396155
"maml3",193.223126973833,1.78400183157752,0.516227040512827,3.45584731440118,0.000548565962885258,0.00665840470085864
"dtx4",38.4753927216961,2.78672753246942,0.698190876714141,3.99135483635141,6.56968969584902e-05,0.00146545412702275
"LOC797711",273.668004139703,4.63693380781101,1.01918509986758,4.54964834985665,5.3735639376369e-06,0.000271662389987925
"fbxo41",71.8119648423832,3.23012590829165,0.803044474283028,4.02234995910477,5.76203594939861e-05,0.00133159365945536
"rnf24",457.092935227381,1.54949211456039,0.549231020998237,2.82120283691217,0.00478439409794318,0.0305788148394632
"smox",854.545441698812,1.92881662623702,0.614637370444226,3.13813757344916,0.001700250549883,0.0146607844214871
"adra1d",71.7820114822761,3.41386189057039,0.95058999800339,3.59130844816464,0.000329021957021752,0.00459152272028087
"zdhhc5a",590.952137262829,1.151219445622,0.44078349847802,2.61175713155562,0.00900782205925359,0.0478147850448614
