"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"uchl1",415.53904083703,6.89380300926178,1.52332038063744,4.52551091476703,6.02497716310793e-06,0.031624236252123
"si:dkey-14d8.6",12803.3072662772,-8.5266649727018,1.93841762979139,-4.39877601279319,1.08863110438814e-05,0.031624236252123
"scg3",588.910407645717,7.71693323091055,1.80556956224243,4.27396063396555,1.92030954424967e-05,0.031624236252123
"scg3_1",587.431415293899,7.70759097894086,1.8047703102652,4.2706769582265,1.94880519193486e-05,0.031624236252123
