"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"apof",1788.13301845412,6.79378326946284,1.52673751918342,4.44986985915989,8.59223394539986e-06,0.0218329471177209
"fam126b",511.704401912148,6.19817986363155,1.31389970254549,4.71739193762164,2.38887211250419e-06,0.0215997577701206
"ddc",316.398954591757,6.71572895746133,1.4874762467478,4.5148478653992,6.33622354970293e-06,0.0218329471177209
"prox1a",1827.43745586511,7.45233848251087,1.59864131959434,4.66167012648086,3.13653637843906e-06,0.0215997577701206
"arhgef10lb",176.621359124734,5.39504255824834,1.23407635161569,4.37172509722351,1.23268672887033e-05,0.0218329471177209
"ptdss2",138.446010789641,3.7668718853519,0.878529425552763,4.28770144264868,1.80531515243528e-05,0.0276273395494346
"apof_1",1785.38610686693,6.79290316407581,1.52698543635882,4.44857102257232,8.64434661990897e-06,0.0218329471177209
"got1_1",577.478000250364,6.5918695822418,1.5099821257755,4.36552822031341,1.26815927497109e-05,0.0218329471177209
"arhgef10lb_1",203.307612536375,5.43812594158325,1.24351195996343,4.37319954827227,1.2243871222228e-05,0.0218329471177209
